"","V1","V2","V3","V4","V5","V6"
"456","wr","0.35","250","114","0.0379727624654567",NA
"457","tprs","0.35","250","115","0.0832749646461824",NA
"458","mdsds","0.35","250","115","0.0619571303671261","2"
"459","soap","0.35","250","115","0.0524709824133395",NA
"460","wr","0.35","250","115","0.059473724761986",NA
"461","tprs","0.35","250","116","0.144070162619496",NA
"462","mdsds","0.35","250","116","0.0606041987920591","4"
"463","soap","0.35","250","116","0.0659156208971721",NA
"464","wr","0.35","250","116","0.0825334566058577",NA
"465","tprs","0.35","250","117","0.0867552883486294",NA
"466","mdsds","0.35","250","117","0.0548315480625609","4"
"467","soap","0.35","250","117","0.0634067881353359",NA
"468","wr","0.35","250","117","0.0588828884750002",NA
"469","tprs","0.35","250","118","0.103892704496394",NA
"470","mdsds","0.35","250","118","0.0452508696489315","4"
"471","soap","0.35","250","118","0.0487496439766695",NA
"472","wr","0.35","250","118","0.0806029397648219",NA
"473","tprs","0.35","250","119","0.0697168858176618",NA
"474","mdsds","0.35","250","119","0.0632694758596282","4"
"475","soap","0.35","250","119","0.0542050547829491",NA
"476","wr","0.35","250","119","0.0673649867291518",NA
"477","tprs","0.35","250","120","0.082565206950881",NA
"478","mdsds","0.35","250","120","0.0672514926232768","4"
"479","soap","0.35","250","120","0.0745196119134496",NA
"480","wr","0.35","250","120","0.0782965429919041",NA
"481","tprs","0.35","250","121","0.0644799215493353",NA
"482","mdsds","0.35","250","121","0.0464886304200542","3"
"483","soap","0.35","250","121","0.0466724260276251",NA
"484","wr","0.35","250","121","0.0487233659810978",NA
"485","tprs","0.35","250","122","0.0843295817822642",NA
"486","mdsds","0.35","250","122","0.045575016552957","4"
"487","soap","0.35","250","122","0.0547888492336972",NA
"488","wr","0.35","250","122","0.0567426150891611",NA
"489","tprs","0.35","250","123","0.0678330688344106",NA
"490","mdsds","0.35","250","123","0.0446102168005441","4"
"491","soap","0.35","250","123","0.0471655833596691",NA
"492","wr","0.35","250","123","0.0575301887527426",NA
"493","tprs","0.35","250","124","0.0875495042349562",NA
"494","mdsds","0.35","250","124","0.0524733858297984","3"
"495","soap","0.35","250","124","0.0547656029509109",NA
"496","wr","0.35","250","124","0.0590248711787033",NA
"497","tprs","0.35","250","125","0.0893673651780433",NA
"498","mdsds","0.35","250","125","0.0475371000780741","3"
"499","soap","0.35","250","125","0.0498771568800338",NA
"500","wr","0.35","250","125","0.0436954539816482",NA
"501","tprs","0.35","250","126","0.0779414366813551",NA
"502","mdsds","0.35","250","126","0.0435233353182663","4"
"503","soap","0.35","250","126","0.0558027238309551",NA
"504","wr","0.35","250","126","0.048475897402745",NA
"505","tprs","0.35","250","127","0.0789986181938336",NA
"506","mdsds","0.35","250","127","0.0433006189786585","4"
"507","soap","0.35","250","127","0.052384441236789",NA
"508","wr","0.35","250","127","0.0459947982003324",NA
"509","tprs","0.35","250","128","0.115143222830711",NA
"510","mdsds","0.35","250","128","0.0561112440390408","6"
"511","soap","0.35","250","128","0.0611193387416539",NA
"512","wr","0.35","250","128","0.0572977649939764",NA
"513","tprs","0.35","250","129","0.0657744899772679",NA
"514","mdsds","0.35","250","129","0.0469386881907684","4"
"515","soap","0.35","250","129","0.0479705911127731",NA
"516","wr","0.35","250","129","0.0624471716641689",NA
"517","tprs","0.35","250","130","0.0956309224425403",NA
"518","mdsds","0.35","250","130","0.0478894985273329","3"
"519","soap","0.35","250","130","0.0496131624801882",NA
"520","wr","0.35","250","130","0.0533740109718437",NA
"521","tprs","0.35","250","131","0.0625431902616359",NA
